Rk,Country,State,# of Pros,# Active,# of HOF,Games Played,Total Touchdowns (by state),Most Touchdowns (from state),TDs,most_games_played_from_state,number_of_most_games_played_from_state
1,USA,,282,1,0,1553,56,Marty Norton,10,Jake Williams,44
2,USA,Alaska,13,0,0,955,17,Steve Smith,12,Mark Schlereth,156
3,USA,Alabama,755,84,9,38580,2033,Terrell Owens,156,Philip Rivers,239
4,USA,Arkansas,317,10,6,15455,1592,Don Hutson,105,Trey Junkin,281
5,USA,Arizona,204,35,2,11182,460,Todd Heap,42,Randall McDaniel,222
6,USA,California,2521,252,20,127163,7617,Marcus Allen,145,Jeff Feagles,352
7,USA,Colorado,189,23,1,8296,424,Vincent Jackson,57,John Denney,224
8,USA,Connecticut,206,10,3,7509,399,Joe Horn,58,John Carney,302
9,USA,"Washington, DC",196,8,3,10297,594,Brian Westbrook,73,Vernon Davis,198
10,USA,Delaware,40,10,0,1586,47,Tim Wilson,9,Duron Harmon,122
11,USA,Florida,1610,281,17,85167,6126,Emmitt Smith,175,Phil Dawson,305
12,USA,Georgia,954,144,10,53511,3457,Jim Brown,126,John Kasay,301
13,USA,Hawaii,112,12,0,5777,94,Arnold Morgado,16,Dominic Raiola,219
14,USA,Iowa,332,21,1,15448,824,Darren Sproles,64,Reggie Roby,238
15,USA,Idaho,71,5,1,3708,176,Merril Hoge,34,Wayne Walker,200
16,USA,Illinois,1135,79,16,48779,2686,Bill Brown,76,Mike Kenn,251
17,USA,Indiana,433,29,4,18709,1015,Mark Clayton,85,Brad Maynard,238
18,USA,Kansas,259,13,5,12200,789,John Riggins,116,Kendall Gammon,234
19,USA,Kentucky,255,22,4,11481,636,Shaun Alexander,112,Jim Marshall,282
20,USA,Louisiana,919,90,10,49396,3980,Marshall Faulk,136,Peyton Manning,266
21,USA,Massachusetts,419,10,4,17280,804,Don McCauley,58,Joe Nash,218
22,USA,Maryland,269,45,0,13755,962,Todd Gurley,79,Sean Landeta,284
23,USA,Maine,28,2,0,1120,19,Thurlow Cooper,8,Al Harris,149
24,USA,Michigan,749,54,5,39213,2309,Antonio Gates,116,Earl Morrall,255
25,USA,Minnesota,415,23,5,15994,889,Larry Fitzgerald,120,Larry Fitzgerald,260
26,USA,Missouri,418,37,5,19511,1131,Ezekiel Elliott,55,Pat Leahy,250
27,USA,Mississippi,651,47,9,33918,2434,Jerry Rice,208,Jerry Rice,303
28,USA,Montana,71,2,1,3111,45,Frank Akins,7,Tim Hauck,183
29,USA,North Carolina,618,69,7,32399,1840,Jimmy Graham,79,Bruce Matthews,296
30,USA,North Dakota,51,2,0,2182,89,Pete Retzlaff,47,Andy Heck,185
31,USA,Nebraska,253,14,3,11090,522,Ahman Green,74,Mick Tingelhoff,240
32,USA,New Hampshire,24,1,0,1071,36,Greg Landry,22,Don Macek,162
33,USA,New Jersey,686,80,6,35527,2233,Franco Harris,100,Irving Fryar,255
34,USA,New Mexico,43,3,2,2250,118,Tommy McDonald,85,Ronnie Lott,192
35,USA,Nevada,67,10,0,3445,259,Steven Jackson,78,Steven Jackson,160
36,USA,New York,879,44,7,37956,1749,Rob Gronkowski,84,Ricky Proehl,244
37,USA,Ohio,1516,105,22,67939,3622,Cris Carter,131,Lou Groza,268
38,USA,Oklahoma,490,26,5,20581,1384,Steve Largent,101,Josh Brown,201
39,USA,Oregon,180,15,1,9149,412,Jerry Smith,60,Stan Brock,234
40,USA,Pennsylvania,1472,79,32,66475,4758,Marvin Harrison,128,George Blanda,340
41,USA,Rhode Island,39,0,0,1564,83,Tom Mitchell,24,Al Del Greco,248
42,USA,South Carolina,439,53,3,27574,1690,Stanley Morgan,73,Andy Lee,259
43,USA,South Dakora,58,4,1,2884,196,Dallas Clark,53,Adam Vinatieri,365
44,USA,Tennessee,442,49,5,21505,834,Jason Witten,74,Jason Witten,266
45,USA,Texas,2518,209,34,130005,8556,LaDainian Tomlinson,162,Matt Stover,297
46,USA,Utah,138,21,2,6292,284,Steve Young,43,Merlin Olsen,208
47,USA,Virgina,493,55,10,28758,1992,Thomas Jones,71,Bruce Smith,279
48,USA,Vermont,10,0,0,444,16,Jim Laird,13,Steve Wisniewski,206
49,USA,Washington,320,25,5,16279,875,Corey Dillon,89,Jason Hanson,327
50,USA,Wisconsin,452,30,8,19053,1060,Elroy Hirsch,66,Mike Webster,245
51,USA,West Virginia,180,3,4,7108,582,Randy Moss,157,Randy Moss,218
52,USA,Wyoming,40,2,0,2647,212,Jack Snow,45,Don Cockroft,188
