State,total_pros,active_pros,hall_of_famers,total_games,Total Touchdowns (by state),Most Touchdowns (from state),TDs,most_games_played_from_state,number_of_most_games_played_from_state
Alaska,13,0,0,955,17,Steve Smith,12,Mark Schlereth,156
Alabama,755,84,9,38580,2033,Terrell Owens,156,Philip Rivers,239
Arkansas,317,10,6,15455,1592,Don Hutson,105,Trey Junkin,281
Arizona,204,35,2,11182,460,Todd Heap,42,Randall McDaniel,222
California,2521,252,20,127163,7617,Marcus Allen,145,Jeff Feagles,352
Colorado,189,23,1,8296,424,Vincent Jackson,57,John Denney,224
Connecticut,206,10,3,7509,399,Joe Horn,58,John Carney,302
"Washington, DC",196,8,3,10297,594,Brian Westbrook,73,Vernon Davis,198
Delaware,40,10,0,1586,47,Tim Wilson,9,Duron Harmon,122
Florida,1610,281,17,85167,6126,Emmitt Smith,175,Phil Dawson,305
Georgia,954,144,10,53511,3457,Jim Brown,126,John Kasay,301
Hawaii,112,12,0,5777,94,Arnold Morgado,16,Dominic Raiola,219
Iowa,332,21,1,15448,824,Darren Sproles,64,Reggie Roby,238
Idaho,71,5,1,3708,176,Merril Hoge,34,Wayne Walker,200
Illinois,1135,79,16,48779,2686,Bill Brown,76,Mike Kenn,251
Indiana,433,29,4,18709,1015,Mark Clayton,85,Brad Maynard,238
Kansas,259,13,5,12200,789,John Riggins,116,Kendall Gammon,234
Kentucky,255,22,4,11481,636,Shaun Alexander,112,Jim Marshall,282
Louisiana,919,90,10,49396,3980,Marshall Faulk,136,Peyton Manning,266
Massachusetts,419,10,4,17280,804,Don McCauley,58,Joe Nash,218
Maryland,269,45,0,13755,962,Todd Gurley,79,Sean Landeta,284
Maine,28,2,0,1120,19,Thurlow Cooper,8,Al Harris,149
Michigan,749,54,5,39213,2309,Antonio Gates,116,Earl Morrall,255
Minnesota,415,23,5,15994,889,Larry Fitzgerald,120,Larry Fitzgerald,260
Missouri,418,37,5,19511,1131,Ezekiel Elliott,55,Pat Leahy,250
Mississippi,651,47,9,33918,2434,Jerry Rice,208,Jerry Rice,303
Montana,71,2,1,3111,45,Frank Akins,7,Tim Hauck,183
North Carolina,618,69,7,32399,1840,Jimmy Graham,79,Bruce Matthews,296
North Dakota,51,2,0,2182,89,Pete Retzlaff,47,Andy Heck,185
Nebraska,253,14,3,11090,522,Ahman Green,74,Mick Tingelhoff,240
New Hampshire,24,1,0,1071,36,Greg Landry,22,Don Macek,162
New Jersey,686,80,6,35527,2233,Franco Harris,100,Irving Fryar,255
New Mexico,43,3,2,2250,118,Tommy McDonald,85,Ronnie Lott,192
Nevada,67,10,0,3445,259,Steven Jackson,78,Steven Jackson,160
New York,879,44,7,37956,1749,Rob Gronkowski,84,Ricky Proehl,244
Ohio,1516,105,22,67939,3622,Cris Carter,131,Lou Groza,268
Oklahoma,490,26,5,20581,1384,Steve Largent,101,Josh Brown,201
Oregon,180,15,1,9149,412,Jerry Smith,60,Stan Brock,234
Pennsylvania,1472,79,32,66475,4758,Marvin Harrison,128,George Blanda,340
Rhode Island,39,0,0,1564,83,Tom Mitchell,24,Al Del Greco,248
South Carolina,439,53,3,27574,1690,Stanley Morgan,73,Andy Lee,259
South Dakora,58,4,1,2884,196,Dallas Clark,53,Adam Vinatieri,365
Tennessee,442,49,5,21505,834,Jason Witten,74,Jason Witten,266
Texas,2518,209,34,130005,8556,LaDainian Tomlinson,162,Matt Stover,297
Utah,138,21,2,6292,284,Steve Young,43,Merlin Olsen,208
Virgina,493,55,10,28758,1992,Thomas Jones,71,Bruce Smith,279
Vermont,10,0,0,444,16,Jim Laird,13,Steve Wisniewski,206
Washington,320,25,5,16279,875,Corey Dillon,89,Jason Hanson,327
Wisconsin,452,30,8,19053,1060,Elroy Hirsch,66,Mike Webster,245
West Virginia,180,3,4,7108,582,Randy Moss,157,Randy Moss,218
Wyoming,40,2,0,2647,212,Jack Snow,45,Don Cockroft,188
